A	June 22, 2024	15	-60
A	June 23, 2024	15	-45
A	June 24, 2024	15	-32
A	June 25, 2024	15	-19
A	June 26, 2024	15	-11
A	June 27, 2024	15	7
A	June 28, 2024	15	22
A	June 29, 2024	15	34
A	June 30, 2024	15	44
A	July 1, 2024	15	61
A	July 2, 2024	15	75
A	July 3, 2024	15	null

B	June 22, 2024	-30	-60
B	June 23, 2024	-30	-45
B	June 24, 2024	-30	-32
B	June 25, 2024	-30	-19
B	June 26, 2024	-30	-11
B	June 27, 2024	-30	7
B	June 28, 2024	-30	22
B	June 29, 2024	-30	34
B	June 30, 2024	-30	44
B	July 1, 2024	-30	61
B	July 2, 2024	-30	75
B	July 3, 2024	-30	null
  
C	June 22, 2024	0	-60
C	June 23, 2024	0	-45
C	June 24, 2024	0	-32
C	June 25, 2024	0	-19
C	June 26, 2024	0	-11
C	June 27, 2024	0	7
C	June 28, 2024	0	22
C	June 29, 2024	0	34
C	June 30, 2024	0	44
C	July 1, 2024	0	61
C	July 2, 2024	0	75
C	July 3, 2024	0	null